Key,Frequency (Hz),Phase (rad),X,Y
1,7.4,0,100,370
2,8.2,0,260,370
3,9,0,420,370
4,9.8,0,580,370
5,10.6,0,740,370
6,11.4,0,900,370
7,12.2,0,1060,370
8,13,0,1220,370
9,13.8,0,1380,370
0,14.6,0,1540,370
←,15.6,1.571,1700,370
Q,7.6,1.571,153,285
W,8.4,1.571,313,285
E,9.2,1.571,473,285
R,10,1.571,633,285
T,10.8,1.571,793,285
Y,11.6,1.571,953,285
U,12.4,1.571,1113,285
I,13.2,1.571,1273,285
O,14,1.571,1433,285
P,14.8,1.571,1593,285
A,7.8,3.142,207,200
S,8.6,3.142,367,200
D,9.4,3.142,527,200
F,10.2,3.142,687,200
G,11,3.142,847,200
H,11.8,3.142,1007,200
J,12.6,3.142,1167,200
K,13.4,3.142,1327,200
L,14.2,3.142,1487,200
↵,15,3.142,1647,200
⇧,8,4.712,100,115
Z,8.8,4.712,260,115
X,9.6,4.712,420,115
C,10.4,4.712,580,115
V,11.2,4.712,740,115
B,12,4.712,900,115
N,12.8,4.712,1060,115
M,13.6,4.712,1220,115
",",14.4,4.712,1380,115
.,15.2,4.712,1540,115
/,15.8,3.142,1700,115
 ,15.4,0,900,30
